ID	EGDe_030510[Tiling]	EGDe_Stat[Tiling]
lmo0405	1.132226958	3.214189175
lmo0406	0.063547931	0.86602399
lmo0407	1.290108216	1.919619764
lmo0408	3.587757669	3.847600321
lmo0409	-1.940859408	-1.174881942
lmo0410	1.415545048	2.473554347
lmo0411	1.00314611	1.98631757
lmo0412	4.954204539	1.897123271
lmo0413	3.755759955	2.988034775
lmo0414	4.21224328	3.620627107
lmo0415	3.049732747	1.967546827
lmo0416	-0.682896833	0.01662259
lmo0417	-0.684356713	-0.088510667
lmo0418	-2.129037389	-1.313060859
lmo0419	2.055779004	0.715181888
lmo0420	1.751256092	1.489226983
lmo0421	2.626175857	1.96155113
lmo0422	0.08635795	-0.508239577
lmo0423	-1.293355014	-1.716303848
lmo0424	-0.780011746	0.933586122
lmo0425	-1.378862609	3.573054907
lmo0426	-1.580998972	3.629977596
lmo0427	-1.444148583	4.097871517
lmo0428	-0.187081333	4.764665756
lmo0429	0.385973288	4.864178312
lmo0430	2.013498571	1.634097342
lmo0431	-0.604820531	-0.695689557
lmo0432	0.143092362	0.059371706
lmo0433	0.955363299	3.850125732
lmo0434	-0.7807774	1.710570334
lmo0435	-2.472899253	-1.904295914
lmo0436	1.3644735	0.878532568
lmo0437	0.784479089	1.173803747
lmo0438	-2.238114391	-1.331933622
lmo0439	1.789332499	3.410148793
lmo0440	0.591783406	-0.2214133
lmo0441	1.250171906	0.734067587
lmo0442	-0.361202027	-0.412431499
lmo0443	4.040882806	4.858427901
lmo0444	-1.729375971	-1.206290896
lmo0445	-0.44638864	0.513441048
lmo0446	-2.399640695	-1.459737607
lmo0447	-1.630246459	-1.323800914
lmo0448	-2.493799212	-2.224151956
lmo0449	4.495691134	3.33170202
lmo0450	2.979417139	1.749941158
lmo0451	2.466521616	1.345253103
lmo0452	1.584326942	1.049637542
lmo0453	2.634713264	1.89974928
lmo0454	3.079735147	2.955211243
lmo0455	1.369938535	0.655204547
lmo0456	-0.405775871	-0.824264144
lmo0457	0.388048843	-0.336327231
lmo0458	0.791329836	0.324059202
lmo0459	-1.63406131	-1.480940736
lmo0460	-2.160226281	-1.955893583
lmo0461	-1.907583375	-1.721893606
lmo0462	-2.500029143	-1.576721978
lmo0463	-2.133725223	-1.700555735
lmo0464	-1.72582381	-1.386025173
lmo0465	0.580877456	-2.156409844
lmo0466	-2.074168722	-1.060072073
lmo0467	-2.209216802	-0.622951366
lmo0468	-2.503815408	-2.766287424
lmo0469	-1.176188927	-1.639200635
lmo0470	1.070080152	1.123810573
lmo0471	1.037497625	3.201266789
lmo0472	-0.596392088	-1.397552585
lmo0473	0.504797255	-0.798804183
lmo0474	-0.84596792	-1.223286697
lmo0475	1.54538076	0.479602208
lmo0476	0.23488721	0.911045785
lmo0477	2.95188764	3.635758871
lmo0478	1.043878803	1.658872707
lmo0479	1.919513064	0.670279782
lmo0480	1.192512115	2.014220693
lmo0481	1.587348988	3.041557626
lmo0482	4.29681806	2.219338458
lmo0483	3.944794761	4.28140312
lmo0484	1.564404536	1.783726385
lmo0485	1.729038565	1.484602892
lmo0486	4.263896582	2.785088592
lmo0487	3.336401192	3.227920195
lmo0488	1.323245052	3.215514405
lmo0489	-1.605924371	-0.659237133
lmo0490	0.7983603	0.03801159
lmo0491	2.230288038	0.905544925
lmo0492	-0.80925905	-1.403023816
lmo0493	-0.735971554	0.205437028
lmo0494	4.195593576	3.690176409
lmo0495	1.983267211	1.208149327
lmo0496	0.90162442	1.638661862
lmo0497	-0.258785032	-1.555312482
lmo0498	-1.404677801	-0.630760294
lmo0499	-2.524287253	-1.981847152
lmo0500	-2.557735934	-1.853860764
lmo0501	-2.455279516	-1.117897895
lmo0502	-2.085990616	-0.14809486
lmo0503	-1.867549192	-0.193395161
lmo0504	-1.796575006	-1.176989941
lmo0505	-1.979562476	-1.060682242
lmo0506	-0.732876593	1.436244756
lmo0507	-0.263938001	2.184942827
lmo0508	-5.58E-04	2.273115365
lmo0509	5.891367487	4.354749585
lmo0510	-1.238660569	-0.659476672
lmo0511	2.808987379	1.31504701
lmo0512	3.783198378	3.150281379
lmo0513	4.033654074	3.633089217
lmo0514	-1.503967763	-1.152042921
lmo0515	1.778647348	4.300564284
lmo0516	1.310275009	-0.023233105
lmo0517	-1.554638067	-0.188236246
lmo0518	1.969115359	2.228867666
lmo0519	5.026519842	2.652683079
lmo0520	1.674562583	2.072466411
lmo0521	2.447883843	3.48356204
lmo0522	3.699198485	3.415973516
lmo0523	1.12593401	-1.495447319
lmo0524	4.387055521	3.562159956
lmo0525	1.804506803	1.354549769
lmo0526	-0.463592295	-0.832485345
lmo0527	2.279446192	-0.052840286
lmo0528	0.604601012	-0.640333081
lmo0529	0.859859376	0.345204236
lmo0530	-0.120033081	-1.241268561
lmo0531	1.936175697	1.584243907
lmo0532	-0.247784154	-1.069729615
lmo0533	2.080113027	0.50698455
lmo0534	4.001751225	2.517884985
lmo0535	3.632544103	3.806291048
lmo0536	1.845238983	5.195025128
lmo0537	2.043062677	2.127958577
lmo0538	2.434452269	2.593764579
lmo0539	5.265652722	5.733210953
lmo0540	0.748395855	-0.636784243
lmo0541	-1.365423587	-0.884790664
lmo0542	-1.81779208	-1.065812583
lmo0543	-2.641979043	-1.920391437
lmo0544	-3.004872161	-2.080942407
lmo0545	-3.13251851	-3.323009493
lmo0546	-1.995011939	-1.096332093
lmo0547	1.073069638	0.142236269
lmo0548	-2.74927481	-2.105101492
lmo0549	-2.463345427	-2.055519375
lmo0550	-0.633341316	-1.010499096
lmo0551	0.15494414	1.378609383
lmo0552	-2.118286119	-1.204261485
lmo0553	4.650289175	5.648158024
lmo0554	2.652339656	2.245167546
lmo0555	5.044772757	4.533943405
lmo0556	2.388906868	3.014821427
lmo0557	3.571713387	3.844106535
lmo0558	6.465636897	6.845529863
lmo0559	-1.279854056	-1.809761859
lmo0560	4.936329513	2.057367396
lmo0561	-0.43236535	0.376598675
lmo0562	-0.521978214	-0.008271193
lmo0563	-0.612704848	0.21838295
lmo0564	-0.815482972	-0.238786459
lmo0565	-1.162386316	-0.699931145
lmo0566	-1.533067889	-1.134089076
lmo0567	-1.32871044	-1.049090237
lmo0568	-1.692476	-1.968071155
lmo0569	-1.168221157	-0.907186136
lmo0570	1.872406289	3.064734631
lmo0571	2.334708277	1.206673423
lmo0572	0.232707936	0.994081323
lmo0573	1.485968913	-1.587728719
lmo0574	1.852090489	2.510121271
lmo0575	4.368999268	3.482376947
lmo0576	-1.82675196	-1.808284968
lmo0577	3.347068501	3.786046569
lmo0578	3.5263769	3.113676793
lmo0579	2.125595491	2.618791993
